id_equipo_soporte,nombre_equipo_soporte,id_estado,id_disponibilidad,id_tipo,horas_uso,id_almacen,descripcion
1,Volvo TS441,1,2,4,212,1,Compresor de aire de tornillo rotativo eficiente y silencioso Ideal para aplicaciones industriales que requieren un flujo constante de aire comprimido.
2,Sullair NX530,2,2,4,421,2,Torre de iluminación portátil con luces LED de alta intensidad Ideal para sitios de construcción o eventos al aire libre durante la noche.
3,Kubota RT496,3,1,4,22,1,Compresor de aire industrial resistente y confiable Adecuado para talleres mecánicos y plantas de manufactura.
4,DeWalt XR640,3,1,3,332,3,Generador portátil y silencioso de gasolina Perfecto para proporcionar energía temporal en sitios pequeños y medianos.
5,Sullair DL409,3,2,3,1,1,Generador de respaldo de 8000 vatios Ideal para hogares y pequeñas empresas en caso de cortes de energía prolongados.
6,Komatsu VP322,4,2,1,479,2,Compresor de aire móvil Diseñado para operaciones de construcción y minería Fácil de transportar y de alto rendimiento.
7,Ingersoll Rand GL129,4,2,2,454,3,Sistema de bombeo de agua diésel Robusto y eficiente Ideal para drenaje en áreas inundadas o riego en terrenos agrícolas.
8,Bosch FX633,1,2,3,158,3,Generador industrial de 45 kVA Diseñado para aplicaciones de gran demanda energética en la construcción y minería.
9,Caterpillar PN781,3,2,4,335,1,Torre de iluminación ecológica con bajo consumo de combustible y luces LED Perfecta para trabajos nocturnos y eventos al aire libre.
10,Bosch CM431,3,1,3,308,3,Generador robusto y eficiente Utilizado en aplicaciones agrícolas y de construcción para suministro de energía estable.
11,Kubota XL421,2,2,2,229,2,Compresor de aire de velocidad variable Diseñado para maximizar la eficiencia energética en aplicaciones industriales.
12,Hitachi GX644,3,2,3,79,2,Generador portátil y compacto Ideal para proporcionar energía en emergencias o en lugares con acceso limitado a electricidad.
13,Cummins CX956,2,2,3,439,2,Torre de iluminación LED recargable Diseñada para trabajos en interiores y exteriores con iluminación ajustable y alta durabilidad.
14,Sullair CL834,4,1,1,276,1,Generador portátil alimentado por batería de litio Ideal para herramientas eléctricas y dispositivos en lugares sin acceso a electricidad.
15,Honda FL248,2,1,1,7,3,Sistema de bombeo de alta presión eficiente y confiable Diseñado para aplicaciones de desagüe y control de inundaciones.
16,Makita GT688,1,1,3,271,4,Compresor compacto y portátil Ideal para trabajos de construcción y mantenimiento de maquinaria en el sitio.
17,Yanmar HL987,1,2,3,321,4,Torre de iluminación móvil con iluminación de alta intensidad Adecuada para proyectos de infraestructura y construcción nocturnos.
18,Makita RT353,2,1,5,228,3,Generador industrial de larga duración Ideal para alimentar maquinaria pesada en lugares sin conexión a la red eléctrica.
