id_pedido_compra,descripcion,id_urgencia,id_estado_pedido,id_empleado,id_orden_compra,2
1,Compra de compresor de aire rotativo eficiente y silencioso.,3,1,340,NULL,2
2,Solicitud de torre de iluminacion portatil con luces LED para eventos nocturnos.,1,2,475,1,2
3,Pedido de compresor de aire industrial resistente para talleres mecanicos.,2,4,972,2,2
4,Generador portatil de gasolina para suministro temporal de energia.,2,4,567,3,2
5,Adquisicion de generador de respaldo de 8000 vatios para emergencia.,3,4,933,4,2
6,Compra de compresor de aire movil para operaciones de mantenimiento.,2,3,660,5,2
7,Solicitud de sistema de bombeo de agua diesel para drenaje de areas.,4,3,806,6,2
8,Pedido de generador industrial de 45 kVA para construccion.,1,1,573,NULL,2
9,Adquisicion de torre de iluminacion ecologica con luces LED.,3,3,366,7,2
10,Compra de compresor de aire de velocidad variable para maquinaria.,2,3,973,8,2
11,Compra de compresor de aire rotativo eficiente y silencioso.,1,2,538,9,2
12,Solicitud de torre de iluminacion portatil con luces LED para eventos nocturnos.,2,1,813,NULL,2
13,Pedido de compresor de aire industrial resistente para talleres mecanicos.,2,4,959,10,2
14,Generador portatil de gasolina para suministro temporal de energia.,4,3,735,11,2
15,Adquisicion de generador de respaldo de 8000 vatios para emergencia.,1,1,483,NULL,2
16,Compra de compresor de aire movil para operaciones de mantenimiento.,1,3,89,12,2
17,Solicitud de sistema de bombeo de agua diesel para drenaje de areas.,2,2,973,13,2
18,Pedido de generador industrial de 45 kVA para construccion.,3,1,637,NULL,2
19,Adquisicion de torre de iluminacion ecologica con luces LED.,2,3,388,14,2
20,Compra de compresor de aire de velocidad variable para maquinaria.,3,5,917,15,2
21,Compra de compresor de aire rotativo eficiente y silencioso.,2,1,891,NULL,2
22,Solicitud de torre de iluminacion portatil con luces LED para eventos nocturnos.,2,3,373,16,2
23,Pedido de compresor de aire industrial resistente para talleres mecanicos.,1,4,652,17,2
24,Generador portatil de gasolina para suministro temporal de energia.,2,1,364,NULL,2
25,Adquisicion de generador de respaldo de 8000 vatios para emergencia.,3,5,789,18,2
26,Compra de compresor de aire movil para operaciones de mantenimiento.,4,4,698,19,2
27,Solicitud de sistema de bombeo de agua diesel para drenaje de areas.,2,3,580,20,2
28,Pedido de generador industrial de 45 kVA para construccion.,1,4,284,21,2
29,Adquisicion de torre de iluminacion ecologica con luces LED.,1,4,182,22,2
30,Compra de compresor de aire de velocidad variable para maquinaria.,2,3,586,23,2
