id_actv,nombre_actv,descripcion,fecha_inicio,fecha_fin,id_equipo_soporte,id_empleado,id_estado,id_orden
1,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-01-07,2022-01-07,0,641,7,1
2,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-01-08,2022-01-10,11,131,6,2
3,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-01-08,2022-01-09,0,982,3,3
4,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-01-10,2022-01-10,0,595,4,4
5,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-01-11,2022-01-12,0,933,5,5
6,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-01-11,2022-01-13,0,68,5,6
7,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-01-13,2022-01-13,4,505,2,7
8,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-01-14,2022-01-16,0,778,4,8
9,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-01-14,2022-01-16,0,431,4,9
10,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-01-16,2022-01-16,0,837,6,10
11,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-01-17,2022-01-18,0,301,7,11
12,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-01-17,2022-01-19,0,509,5,12
13,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-01-19,2022-01-19,0,92,6,13
14,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-01-20,2022-01-20,0,745,4,14
15,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-01-20,2022-01-22,0,332,4,15
16,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-01-22,2022-01-22,0,640,1,16
17,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-01-23,2022-01-23,0,671,6,17
18,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-01-23,2022-01-25,0,975,2,18
19,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-01-25,2022-01-25,0,365,2,19
20,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-01-26,2022-01-28,0,975,6,20
21,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-01-26,2022-01-28,0,186,2,21
22,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-01-28,2022-01-30,0,287,2,22
23,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-01-29,2022-01-31,0,494,6,23
24,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-01-29,2022-01-30,0,701,7,24
25,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-01-31,2022-02-01,0,645,4,25
26,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-02-01,2022-02-02,0,261,7,26
27,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-02-01,2022-02-03,0,807,4,27
28,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-02-03,2022-02-05,0,788,7,28
29,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-02-04,2022-02-05,0,381,2,29
30,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-02-04,2022-02-04,0,938,3,30
31,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-02-06,2022-02-07,0,186,1,31
32,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-02-07,2022-02-07,0,435,5,32
33,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-02-07,2022-02-07,0,971,7,33
34,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-02-09,2022-02-11,0,445,4,34
35,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-02-10,2022-02-10,0,837,2,35
36,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-02-10,2022-02-12,0,542,5,36
37,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-02-12,2022-02-13,0,412,6,37
38,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-02-13,2022-02-14,0,632,7,38
39,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-02-13,2022-02-15,6,850,5,39
40,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-02-15,2022-02-15,0,171,4,40
41,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-02-16,2022-02-16,0,668,5,41
42,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-02-16,2022-02-18,0,279,7,42
43,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-02-18,2022-02-20,0,977,7,43
44,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-02-19,2022-02-21,0,321,4,44
45,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-02-19,2022-02-21,0,738,3,45
