id_notificacion,Asunto,mensaje,fecha_notificacion,id_remitente,id_destinatario,Id_registro,Id_reporte,id_tipo
1,Error en la dirección de envío,¿Has recibido la confirmación de la reserva para la conferencia que vamos a asistir?,01/01/2024,160,192,759,,1
2,Error al guardar los cambios,¿Has completado la revisión de los documentos que te envié la semana pasada?,02/01/2024,16,130,108,,1
3,Problema con la reserva del vuelo,¿Has revisado el informe de progreso que te envié por correo?,03/01/2024,169,106,794,,1
4,Error al guardar los cambios,¿Has revisado el informe de progreso que te envié por correo?,04/01/2024,16,53,241,,1
5,Problema con la entrega del pedido,¿Qué te parece si revisamos juntos el plan de acción?,05/01/2024,139,132,801,,1
6,Error en la instalación del programa,¿Has recibido la confirmación de la reserva para la conferencia que vamos a asistir?,06/01/2024,3,19,140,,1
7,Error en la dirección de envío,¿Has revisado la presentación que preparé para la reunión de mañana?,07/01/2024,105,129,152,,1
8,Error en la edición de la hoja de cálculo,¿Has revisado la presentación que preparé para la reunión de mañana?,08/01/2024,35,247,502,,1
9,Error en la traducción del texto,¿Podemos programar una reunión para revisar los resultados del proyecto?,09/01/2024,82,10,406,,1
10,Problema con la entrega del pedido,¿Qué opinas de la estrategia de marketing que estamos implementando?,10/01/2024,35,199,740,,1
11,Problema con la impresión del documento,confirma si estás de acuerdo con la fecha y hora de la reunión,11/01/2024,136,40,37,,1
12,Problema con la configuración de la cuenta,confirma si estás de acuerdo con la fecha y hora de la reunión,12/01/2024,73,101,12,,1
13,Fallo en la carga de la imagen,¿Qué opinas de la propuesta de mejora que discutimos en la última reunión?,13/01/2024,299,296,850,,1
14,Error al abrir el archivo adjunto,¿Podemos discutir los cambios que sugieres en el documento?,14/01/2024,152,59,60,,1
15,Fallo en la sincronización de correos,¿Qué te parece si nos reunimos para discutir las estrategias de comunicación?,15/01/2024,285,126,758,,1
16,Error en la instalación del programa,¿Has terminado el informe que te pedí?,16/01/2024,182,272,693,,1
17,Error en la página web,¿Podemos discutir los detalles del proyecto mañana?,17/01/2024,111,77,202,,1
18,Problema con la entrega del pedido,Por favor,18/01/2024,16,263,676,,1
19,Fallo en la descarga del archivo,confirma si estás de acuerdo con el plan de acción propuesto,19/01/2024,75,104,815,,1
20,Problema con la configuración de la cuenta,¿Podemos programar una reunión para analizar los resultados de la encuesta?,20/01/2024,40,10,207,,1
21,Problema con la visualización del contenido,¿Podrías enviarme tus comentarios sobre el borrador del informe?,21/01/2024,92,135,187,,1
22,Problema con la conexión a internet,confirma tu disponibilidad para la llamada de seguimiento,22/01/2024,103,264,777,,1
23,Problema con la reserva del vuelo,confirma si estás de acuerdo con el plan de acción propuesto,23/01/2024,148,176,458,,1
24,Problema con la reserva del vuelo,¿Podemos discutir los cambios que sugieres en el documento?,24/01/2024,17,231,97,,1
25,Error en la reserva del hotel,¿Podrías enviarme tus comentarios sobre el plan de marketing que elaboramos?,25/01/2024,88,163,560,,1
26,Error al abrir el archivo adjunto,¿Podemos programar una reunión para analizar los resultados de la encuesta?,26/01/2024,33,213,359,,1
27,Problema con la sincronización de calendario,¿Podemos programar una reunión para revisar el calendario de actividades?,27/01/2024,148,98,298,,1
28,Problema con la contraseña,¿Qué te parece si nos reunimos para discutir los resultados del estudio?,28/01/2024,102,86,430,,1
29,Problema con la conexión a internet,¿Podemos discutir los detalles del proyecto mañana?,29/01/2024,282,246,919,,1
30,Error al guardar los cambios,¿Podemos coordinar una llamada para analizar los datos del informe?,30/01/2024,31,198,707,,1
31,Error al abrir el archivo adjunto,¿Qué te parece si nos reunimos para discutir las estrategias de fidelización?,31/01/2024,216,110,515,,1
32,Fallo en la carga de la imagen,¿Qué opinas de la propuesta de mejora que discutimos en la última reunión?,01/02/2024,114,56,687,,1
33,Problema con la contraseña,¿Qué te parece si nos reunimos para planificar la estrategia de lanzamiento?,02/02/2024,194,44,498,,1
34,Fallo en la actualización del software,¿Has enviado la información solicitada para la auditoría que estamos preparando?,03/02/2024,76,143,759,,1
