id_plan,descripcion,fecha_plan,empleado_asigna,id_criticidad
1,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-01-07,15,1
2,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-01-08,19,3
3,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-01-08,10,1
4,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-01-10,2,3
5,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-01-11,7,2
6,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-01-11,8,3
7,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-01-13,20,3
8,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-01-14,4,2
9,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-01-14,9,3
10,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-01-16,12,3
11,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-01-17,4,1
12,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-01-17,6,3
13,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-01-19,16,1
14,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-01-20,5,2
15,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-01-20,8,3
16,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-01-22,2,1
17,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-01-23,19,1
18,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-01-23,14,1
19,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-01-25,6,1
20,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-01-26,5,1
21,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-01-26,18,3
22,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-01-28,4,3
23,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-01-29,16,3
24,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-01-29,3,3
25,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-01-31,3,1
26,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-02-01,18,2
